[ServerState.cpp               :  396] [14:00 01:875] _INFO [6920] [rtmp] onAck(before): sequenceNo=814893896, sentBytes=814908289, sendLimit=816143861(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 01:875] _INFO [6920] [rtmp] onAck(after): sequenceNo=814893896, sentBytes=814893896, sendLimit=817393896(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 06:000] _INFO [6920] [rtmp] onAck(before): sequenceNo=816145923, sentBytes=816036579, sendLimit=817393896(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 06:000] _INFO [6920] [rtmp] onAck(after): sequenceNo=816145923, sentBytes=816145923, sendLimit=818645923(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 10:765] _INFO [6920] [rtmp] onAck(before): sequenceNo=817398199, sentBytes=817350237, sendLimit=818645923(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 10:765] _INFO [6920] [rtmp] onAck(after): sequenceNo=817398199, sentBytes=817398199, sendLimit=819898199(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 15:062] _INFO [6920] [rtmp] onAck(before): sequenceNo=818651581, sentBytes=818628420, sendLimit=819898199(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 15:062] _INFO [6920] [rtmp] onAck(after): sequenceNo=818651581, sentBytes=818651581, sendLimit=821151581(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 20:687] _INFO [6920] [rtmp] onAck(before): sequenceNo=819903769, sentBytes=819987557, sendLimit=821151581(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 20:687] _INFO [6920] [rtmp] onAck(after): sequenceNo=819903769, sentBytes=819903769, sendLimit=822403769(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 26:015] _INFO [6920] [rtmp] onAck(before): sequenceNo=821153975, sentBytes=821266521, sendLimit=822403769(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 26:015] _INFO [6920] [rtmp] onAck(after): sequenceNo=821153975, sentBytes=821153975, sendLimit=823653975(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 29:640] _INFO [6920] [rtmp] onAck(before): sequenceNo=822406308, sentBytes=822208491, sendLimit=823653975(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 29:656] _INFO [6920] [rtmp] onAck(after): sequenceNo=822406308, sentBytes=822406308, sendLimit=824906308(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 34:781] _INFO [6920] [rtmp] onAck(before): sequenceNo=823659385, sentBytes=823743020, sendLimit=824906308(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 34:781] _INFO [6920] [rtmp] onAck(after): sequenceNo=823659385, sentBytes=823659385, sendLimit=826159385(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 39:250] _INFO [6920] [rtmp] onAck(before): sequenceNo=824910049, sentBytes=824831227, sendLimit=826159385(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 39:250] _INFO [6920] [rtmp] onAck(after): sequenceNo=824910049, sentBytes=824910049, sendLimit=827410049(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:00 44:921] _INFO [6920] [rtmp] onAck(before): sequenceNo=826162828, sentBytes=826217138, sendLimit=827410049(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:00 44:921] _INFO [6920] [rtmp] onAck(after): sequenceNo=826162828, sentBytes=826162828, sendLimit=828662828(type:3, code:0x00400000)
